customer_id,customer_state,review_score,price,payment_type,product_category,frequency,monetary,recency,RFM_score
f681356046d9fde60e70c73a18d65ea2,SP,5,49.0,credit_card,watches_gifts,1,49.0,201,2.76
4a0e66fd30684aa1409cd1b66fec77cc,SP,5,78.0,boleto,watches_gifts,1,78.0,54,4.05
70a8cfb1730fd53e5c15f2a62e1e5448,SP,1,29.0,credit_card,watches_gifts,1,29.0,350,1.74
f0bbb754a5855f669094d5049c09c548,MT,4,78.0,credit_card,watches_gifts,1,78.0,141,3.9
cfde53fd036308dba103823ba561b885,SP,5,49.0,boleto,watches_gifts,1,94.0,15,4.43
cfde53fd036308dba103823ba561b885,SP,5,45.0,boleto,watches_gifts,1,94.0,15,4.43
8a3083e3f5500b50d6f4f3003604df87,MG,4,49.0,credit_card,watches_gifts,1,49.0,278,2.64
ada5afd2b1b1258fd60f507e92a63472,MG,1,55.0,boleto,watches_gifts,1,55.0,404,2.9
1d331c1175b7c788fdf7b44b6dc26627,RJ,4,69.0,credit_card,fashion_bags_accessories,1,69.0,26,3.91
a37646debdb792ee5aaf18cf5da53717,BA,5,69.0,credit_card,watches_gifts,1,69.0,28,3.9
e1c0318960b73aa3bd90b9500f7ba6fc,SP,4,49.0,credit_card,watches_gifts,1,49.0,278,2.64
9edeb727de2970d9bda3186ff2300fa5,RJ,5,55.0,credit_card,watches_gifts,1,55.0,152,3.25
f0eccf2fbfbabd057700f535e10d1493,PR,4,29.0,credit_card,watches_gifts,1,73.0,303,3.51
f0eccf2fbfbabd057700f535e10d1493,PR,4,44.0,credit_card,watches_gifts,1,73.0,303,3.51
a8d7167182ac070d269d752eb692b1db,MG,5,49.0,credit_card,fashion_bags_accessories,1,49.0,316,2.57
38d582cf25bb1bc7d6f9f494dc2c260e,RJ,1,56.0,credit_card,watches_gifts,1,56.0,35,3.59
649ae246f93c7482390cf748a9be70f3,MG,5,49.0,credit_card,watches_gifts,1,49.0,9,3.1
daa4d167c907827200536489e0dc645b,PR,5,29.0,boleto,watches_gifts,1,58.0,430,3.07
daa4d167c907827200536489e0dc645b,PR,5,29.0,boleto,watches_gifts,1,58.0,430,3.07
52aaa28398bf43dfbfc64dc09278f13d,RJ,5,145.0,credit_card,watches_gifts,1,145.0,84,4.53
97b9cfe8bd0140421d5247237594b5d3,RJ,5,39.0,credit_card,watches_gifts,1,39.0,180,2.28
ea5744917d5a275155a8732c1c18e994,MG,4,49.0,credit_card,watches_gifts,1,127.0,125,4.42
ea5744917d5a275155a8732c1c18e994,MG,4,78.0,credit_card,watches_gifts,1,127.0,125,4.42
491b53d711e90db8195ba44d40bb83ac,ES,5,199.0,credit_card,watches_gifts,1,199.0,558,4.16
0266506e68e7eac1c7f726da057c28a9,SP,5,45.0,credit_card,watches_gifts,1,74.0,260,3.61
0266506e68e7eac1c7f726da057c28a9,SP,5,29.0,credit_card,watches_gifts,1,74.0,260,3.61
4f2997ab0d3af91e76b6f878f6b0974e,BA,4,35.0,credit_card,watches_gifts,1,35.0,223,2.14
24f45496005328bf15eb16909e485883,PR,4,55.0,credit_card,watches_gifts,1,55.0,234,3.15
81c1b162b444c41613ad9285e92d6beb,RJ,2,49.0,credit_card,fashion_bags_accessories,1,49.0,384,2.48
